 TIME                    	Front                    	Back                     	Left                     	Right                    	Bottom  
309	-4.239055	-4.239164	-4.335988	-4.335872	5.843409
310	-4.240921	-4.241030	-4.337879	-4.337764	5.842370
311	-4.242779	-4.242888	-4.339763	-4.339648	5.841322
312	-4.244631	-4.244740	-4.341641	-4.341525	5.840263
313	-4.246485	-4.246594	-4.343520	-4.343405	5.839192
314	-4.248345	-4.248454	-4.345406	-4.345291	5.838106
315	-4.250212	-4.250321	-4.347299	-4.347184	5.837008
316	-4.252081	-4.252190	-4.349194	-4.349078	5.835904
317	-4.253950	-4.254059	-4.351088	-4.350973	5.834794
318	-4.255816	-4.255925	-4.352980	-4.352864	5.833684
319	-4.257677	-4.257786	-4.354866	-4.354751	5.832573
320	-4.259532	-4.259641	-4.356746	-4.356631	5.831465
321	-4.261379	-4.261488	-4.358619	-4.358504	5.830362
322	-4.263218	-4.263327	-4.360483	-4.360368	5.829268
323	-4.265002	-4.265111	-4.362292	-4.362177	5.828275
324	-4.266591	-4.266700	-4.363906	-4.363791	5.827583
325	-4.267951	-4.268060	-4.365291	-4.365176	5.827136
326	-4.269180	-4.269289	-4.366544	-4.366429	5.826824
327	-4.270380	-4.270489	-4.367768	-4.367653	5.826545
328	-4.271598	-4.271707	-4.369010	-4.368895	5.826288
329	-4.272903	-4.273012	-4.370340	-4.370224	5.825902
330	-4.274413	-4.274522	-4.371875	-4.371760	5.825245
331	-4.276117	-4.276226	-4.373604	-4.373489	5.824387
332	-4.277917	-4.278026	-4.375430	-4.375315	5.823415
333	-4.279750	-4.279859	-4.377290	-4.377174	5.822376
334	-4.281592	-4.281701	-4.379157	-4.379042	5.821293
335	-4.283433	-4.283542	-4.381023	-4.380908	5.820182
336	-4.285275	-4.285384	-4.382892	-4.382777	5.819044
337	-4.287130	-4.287239	-4.384772	-4.384657	5.817876
338	-4.288999	-4.289108	-4.386667	-4.386552	5.816682
339	-4.290879	-4.290988	-4.388573	-4.388457	5.815470
340	-4.292765	-4.292874	-4.390483	-4.390368	5.814244
341	-4.294654	-4.294763	-4.392398	-4.392283	5.813006
342	-4.296546	-4.296655	-4.394315	-4.394200	5.811759
343	-4.298439	-4.298548	-4.396234	-4.396119	5.810504
344	-4.300330	-4.300439	-4.398150	-4.398035	5.809248
345	-4.302214	-4.302323	-4.400058	-4.399943	5.807995
346	-4.304088	-4.304197	-4.401958	-4.401843	5.806760
347	-4.305856	-4.305965	-4.403751	-4.403635	5.805718
348	-4.307415	-4.307524	-4.405334	-4.405219	5.804934
349	-4.308803	-4.308912	-4.406745	-4.406630	5.804327
350	-4.310088	-4.310197	-4.408055	-4.407939	5.803841
351	-4.311342	-4.311450	-4.409332	-4.409217	5.803389
352	-4.312611	-4.312719	-4.410625	-4.410510	5.802949
353	-4.313966	-4.314075	-4.412005	-4.411890	5.802379
354	-4.315510	-4.315618	-4.413573	-4.413458	5.801570
355	-4.317223	-4.317332	-4.415312	-4.415197	5.800588
